\ODISEA_C4_ID  RA            Dec           F1.3  eF1.3 Major  eMajor Minor eMinor   PA     ePA
\              (J2000.0)     (J2000.0)     (mJy) (mJy) (mas)  (mas)  (mas) (mas)   (deg)  (deg)
ODISEA_C4_052  16:26:46.427 -24:12:00.49   7.46  0.13  131.7    2.6  131.7    2.8  156.4   38.8
ODISEA_C4_053B 16:26:48.380 -24:28:35.28   2.32  0.27   ...    ...    ...    ...    ...    ... 
ODISEA_C4_053A 16:26:48.470 -24:28:39.34  52.54  0.49   ...    ...    ...    ...    ...    ... 
ODISEA_C4_054  16:26:48.653 -23:56:34.62   2.81  0.13   ...    ...    ...    ...    ...    ... 
ODISEA_C4_055  16:26:48.974 -24:38:25.57  21.76  0.36  103.3    2.5   95.7    2.5   83.4   57.0
ODISEA_C4_056  16:26:51.962 -24:30:40.05  10.33  0.34  757.1   38.0  258.4   37.0   38.0    1.5
ODISEA_C4_057  16:26:53.470 -24:32:36.72   2.63  0.17   ...    ...    ...    ...    ...    ... 
ODISEA_C4_058  16:26:54.298 -24:24:38.53   2.45  0.16   ...    ...    ...    ...    ...    ... 
ODISEA_C4_059  16:26:54.762 -24:27:02.74   1.20  0.13   ...    ...    ...    ...    ...    ... 
ODISEA_C4_060  16:26:56.768 -24:13:51.98  15.41  1.22  247.7   10.0  110.0   10.0   50.8    0.5
ODISEA_C4_061     ...           ...        0.10  0.14   ...    ...    ...    ...    ...    ... 
ODISEA_C4_062  16:26:58.516 -24:45:36.98 180.30  0.43 1087.0   55.0  665.3   40.0   47.5    3.6
ODISEA_C4_063  16:27:02.993 -24:26:15.19  21.73  0.26  197.9    7.5  197.9    8.4   60.0    0.5
ODISEA_C4_064  16:27:03.582 -24:20:05.86  35.49  0.22  320.2    3.8  320.2    5.5    0.0    0.2
ODISEA_C4_065  16:27:04.118 -24:28:30.78  14.30  0.23   ...    ...    ...    ...    ...    ... 
ODISEA_C4_066     ...           ...       -0.03  0.15   ...    ...    ...    ...    ...    ... 
ODISEA_C4_067  16:27:05.252 -24:36:30.19  54.85  0.54  408.9    6.4  135.6    8.9  168.4    0.9
ODISEA_C4_068  16:27:06.766 -24:38:15.50  22.19  0.37  233.7    7.3   59.1    9.8   14.2    0.9
ODISEA_C4_069  16:27:09.071 -24:12:01.23   3.62  0.12   ...    ...    ...    ...    ...    ... 
ODISEA_C4_070  16:27:09.096 -24:34:08.73  40.73  0.47  294.0    6.1  152.6   11.1   36.1    2.6
ODISEA_C4_071  16:27:09.342 -24:40:22.93   9.50  0.15   ...    ...    ...    ...    ...    ... 
ODISEA_C4_072  16:27:11.167 -24:40:47.11  38.29  0.18  163.5    6.3  163.5    3.9   56.1    0.6
ODISEA_C4_073  16:27:11.702 -24:38:32.53   1.74  0.16   ...    ...    ...    ...    ...    ... 
ODISEA_C4_074  16:27:13.724 -24:18:17.35   6.18  0.18   ...    ...    ...    ...    ...    ... 
ODISEA_C4_075  16:27:13.813 -24:43:32.06  22.02  0.36  225.0    4.5  138.1    5.1   28.8    7.0
ODISEA_C4_076  16:27:14.490 -24:26:46.52   5.63  0.27   ...    ...    ...    ...    ...    ... 
ODISEA_C4_077     ...           ...       -0.24  0.14   ...    ...    ...    ...    ...    ... 
ODISEA_C4_078B 16:27:15.436 -24:26:40.40   4.08  0.30   ...    ...    ...    ...    ...    ... 
ODISEA_C4_078A 16:27:15.447 -24:26:40.21   7.28  0.30   ...    ...    ...    ...    ...    ... 
ODISEA_C4_079     ...           ...       -0.10  0.15   ...    ...    ...    ...    ...    ... 
ODISEA_C4_080  16:27:15.875 -24:25:14.53   4.25  0.13   ...    ...    ...    ...    ...    ... 
ODISEA_C4_081  16:27:16.391 -24:31:15.08  19.54  0.12  134.1    4.5  134.1   15.0   21.7    7.7
ODISEA_C4_082C 16:27:17.419 -24:28:55.03   1.86  0.25   ...    ...    ...    ...    ...    ... 
ODISEA_C4_082B 16:27:17.443 -24:28:56.56   1.30  0.15   ...    ...    ...    ...    ...    ... 
ODISEA_C4_082A 16:27:17.581 -24:28:56.83  12.25  0.22   ...    ...    ...    ...    ...    ... 
ODISEA_C4_083  16:27:18.371 -24:39:15.24  29.03  0.21  519.3    3.6   51.9    8.9   46.5    0.6
ODISEA_C4_084  16:27:18.476 -24:29:06.43   1.45  0.34   ...    ...    ...    ...    ...    ... 
ODISEA_C4_085  16:27:19.201 -24:28:44.41  23.82  0.17  209.6    2.7  209.6   12.0   49.2    0.7
ODISEA_C4_086  16:27:21.455 -24:41:43.55  14.34  0.12  162.9   10.4   84.3   35.6  166.9   43.0
ODISEA_C4_087  16:27:21.791 -24:29:53.85   5.40  0.39   ...    ...    ...    ...    ...    ... 
ODISEA_C4_088     ...           ...       -0.09  0.18   ...    ...    ...    ...    ...    ... 
ODISEA_C4_089     ...           ...        0.20  0.17   ...    ...    ...    ...    ...    ... 
ODISEA_C4_090  16:27:24.589 -24:41:03.74   4.64  0.12   ...    ...    ...    ...    ...    ... 
ODISEA_C4_091  16:27:26.274 -24:42:46.67   2.47  0.13   ...    ...    ...    ...    ...    ... 
ODISEA_C4_092     ...           ...       -0.05  0.16   ...    ...    ...    ...    ...    ... 
ODISEA_C4_093  16:27:28.442 -24:27:21.69   1.84  0.19   ...    ...    ...    ...    ...    ... 
ODISEA_C4_094  16:27:30.174 -24:27:43.85   5.99  0.38   ...    ...    ...    ...    ...    ... 
ODISEA_C4_095  16:27:30.843 -24:24:56.58   2.02  0.15   ...    ...    ...    ...    ...    ... 
ODISEA_C4_096     ...           ...       -0.05  0.14   ...    ...    ...    ...    ...    ... 
