#Table 1 
#Fluxes and Inferred Disk Masses for ALMA-detected Sources


ID	alpha	delta	M_*	F_lambda 850mum	F_dust	M_dust^a	R_disk	remove
171-340	5 35 17.04	-5 23 39.75	0.45	17.1 +or- 0.4	22.5 +or- 2.5	39.4 +or- 4.4	21.4 +or- 0.2	
HC259	5 35 17.07	-5 23 34.00	0.60	6.2 +or- 0.2	4.4 +or- 1.2	7.7 +or- 2.2	11.9 +or- 0.4	
173-341	5 35 17.32	-5 23 41.40	0.10	1.7 +or- 0.1	1.2 +or- 0.3	2.1 +or- 0.5	<5	
173-236	5 35 17.34	-5 22 35.81	0.71	14.5 +or- 0.3	18.1 +or- 2.2	31.6 +or- 3.8	22.0 +or- 0.2	
HC422	5 35 17.38	-5 22 45.80	0.12	6.0 +or- 0.2	6.0 +or- 0.2	10.5 +or- 0.3	<5	
HC180	5 35 17.39	-5 24 0.30	2.46	0.9 +or- 0.2	0.9 +or- 0.2	1.6 +or- 0.3	20.2 +or- 3.5	
HC313	5 35 17.47	-5 23 21.10	0.49	0.6 +or- 0.1	0.3 +or- 0.2	0.5 +or- 0.3	10.9 +or- 4.2	
175-251	5 35 17.47	-5 22 51.26	0.35	2.2 +or- 0.2	2.1 +or- 0.3	3.7 +or- 0.6	15.7 +or- 1.7	
175-355	5 35 17.54	-5 23 55.05	cdots	1.2 +or- 0.1	1.2 +or- 0.1	2.1 +or- 0.2	20.5 +or- 2.4	
176-325^b	5 35 17.55	-5 23 24.96	0.48	2.3 +or- 0.1	0.0 +or- 0.1	0.0 +or- 0.1	31.9 +or- 1.2	
HC388	5 35 17.56	-5 22 56.80	0.60	1.6 +or- 0.2	1.6 +or- 0.2	2.8 +or- 0.3	17.9 +or- 2.3	
177-341W	5 35 17.66	-5 23 41.00	cdots	10.9 +or- 0.3	2.8 +or- 2.7	4.9 +or- 4.6	29.5 +or- 0.3	
HC234	5 35 17.77	-5 23 42.60	0.14	1.2 +or- 0.3	1.2 +or- 0.3	2.1 +or- 0.5	<5	
HC332	5 35 17.82	-5 23 15.60	0.39	2.9 +or- 0.1	2.9 +or- 0.1	5.1 +or- 0.2	24.5 +or- 0.9	
178-258	5 35 17.84	-5 22 58.15	0.26	5.7 +or- 0.2	5.7 +or- 0.2	10.0 +or- 0.3	21.6 +or- 0.7	
179-354	5 35 17.96	-5 23 53.50	0.04	1.0 +or- 0.1	1.0 +or- 0.1	1.7 +or- 0.2	12.1 +or- 2.6	
180-331	5 35 18.03	-5 23 30.80	cdots	4.4 +or- 0.2	1.5 +or- 1.0	2.6 +or- 1.7	15.0 +or- 0.6	
HC174	5 35 18.04	-5 24 3.10	0.30	7.6 +or- 0.3	7.6 +or- 0.3	13.3 +or- 0.5	12.4 +or- 0.6	
181-247	5 35 18.08	-5 22 47.10	cdots	4.1 +or- 0.2	4.7 +or- 0.7	8.2 +or- 1.2	15.4 +or- 0.8	
HC177	5 35 18.08	-5 24 1.20	0.14	3.1 +or- 0.2	3.1 +or- 0.2	5.4 +or- 0.3	9.6 +or- 1.4	
182-316	5 35 18.19	-5 23 31.55	0.35	3.0 +or- 0.2	3.0 +or- 0.2	5.2 +or- 0.3	15.0 +or- 1.0	
HC253	5 35 18.21	-5 23 35.90	1.32	6.4 +or- 0.2	6.4 +or- 0.2	11.2 +or- 0.3	<5	
HC331	5 35 18.25	-5 23 15.70	0.31	2.0 +or- 0.1	1.6 +or- 0.3	2.8 +or- 0.5	13.1 +or- 1.4	
HC436^b	5 35 18.38	-5 22 37.50	0.59	1.8 +or- 0.1	0.0 +or- 0.1	0.0 +or- 0.1	6.7 +or- 1.4	
HC278	5 35 18.50	-5 23 29.30	0.08	0.5 +or- 0.1	0.5 +or- 0.1	0.9 +or- 0.2	<5	
187-314	5 35 18.68	-5 23 14.01	0.61	0.9 +or- 0.1	0.9 +or- 0.1	1.6 +or- 0.2	18.0 +or- 2.8	
HC191	5 35 18.68	-5 23 56.50	0.12	0.6 +or- 0.1	0.6 +or- 0.1	1.0 +or- 0.2	4.8 +or- 3.9	
HC713	5 35 18.71	-5 22 56.90	1.31	0.8 +or- 0.1	0.8 +or- 0.1	1.4 +or- 0.2	19.4 +or- 3.9	
HC482	5 35 18.85	-5 22 23.10	0.10	5.5 +or- 0.3	5.5 +or- 0.3	9.6 +or- 0.5	25.2 +or- 0.9	
189-329	5 35 18.87	-5 23 28.85	0.17	2.1 +or- 0.1	2.0 +or- 0.3	3.5 +or- 0.5	11.5 +or- 1.3	
HC352	5 35 18.88	-5 23 7.20	cdots	1.7 +or- 0.1	1.7 +or- 0.1	3.0 +or- 0.2	<5	
190-251	5 35 19.03	-5 22 50.65	0.59	0.6 +or- 0.1	0.6 +or- 0.1	1.0 +or- 0.2	30.6 +or- 5.4	
191-350	5 35 19.06	-5 23 49.50	0.71	0.8 +or- 0.1	0.4 +or- 0.2	0.7 +or- 0.3	15.2 +or- 2.7	
HC351	5 35 19.07	-5 23 7.50	0.10	4.1 +or- 0.2	4.1 +or- 0.2	7.2 +or- 0.3	33.4 +or- 0.8	
HC288	5 35 19.12	-5 23 27.10	0.44	0.7 +or- 0.1	0.7 +or- 0.1	1.2 +or- 0.2	22.0 +or- 3.7	
191-232	5 35 19.13	-5 22 31.20	cdots	1.1 +or- 0.1	1.1 +or- 0.1	1.9 +or- 0.2	34.5 +or- 2.7	
HC366	5 35 19.63	-5 23 3.60	0.03	4.7 +or- 0.2	4.7 +or- 0.2	8.2 +or- 0.3	9.9 +or- 0.9	
198-222	5 35 19.82	-5 22 21.55	cdots	2.6 +or- 0.3	2.7 +or- 0.5	4.7 +or- 0.9	15.3 +or- 2.8	
#Notes. Stellar masses, where available, are taken from a new study by M. Fang et al. (2018, in preparation), and from the literature (Hillenbrand 1997; Luhman et al. 2000; Slesnick et al. 2004; Hillenbrand et al. 2013; Ingraham et al. 2014). Disk sizes are HWHM major axes of Gaussian fits, after deconvolution of the synthesized beam. All uncertainties listed in the table are 1sigma errors.
#^a Dust masses are computed from the measured dust fluxes using Equation (1) and assuming T_dust = 20 K. These masses are not accurate (see Figure 13 and the discussion in Section 4.5), and are listed only to give a rough idea of how flux and mass are related.
#^b After removal of free-free emission, the dust masses for these objects are consistent with zero. While they were detected with ALMA, the detection traces free-free emission, and no significant emission from dust is detected.
