# %ECSV 0.9
# ---
# datatype:
# - {name: '[MGM2012]', datatype: int16}
# - {name: RA, datatype: string}
# - {name: Dec, datatype: string}
# - {name: d, datatype: float64}
# - {name: l_F_225GHz, datatype: string}
# - {name: F_225GHz, datatype: float64}
# - {name: e_F_225GHz, datatype: float64}
# - {name: l_M_dust, datatype: string}
# - {name: M_dust, datatype: float64}
# - {name: e_M_dust, datatype: float64}
# - {name: resolved, datatype: int64}
# schema: astropy-2.0
[MGM2012] RA Dec d l_F_225GHz F_225GHz e_F_225GHz l_M_dust M_dust e_M_dust resolved
115 05:41:27.71 -09:31:41.42 444.19516784958256 "" 4.188521299511194 0.0791374268675283 "" 25.26714268030294 0.47739441034888125 0
117 05:41:36.72 -09:30:46.26 444.22287444785275 "" 0.772644008975476 0.09544324184501218 "" 4.661535783559741 0.5758306309129646 0
118 05:41:16.20 -09:30:17.14 443.65316974578684 "" 0.49879582365974784 0.09191055367547758 "" 3.001633964773538 0.5530957288480565 0
119 05:41:10.08 -09:29:41.62 443.3953975687873 < 0.3597134668086747 0.08992836670216868 < 2.1621548971350593 0.5405387242837648 0
120 05:41:14.74 -09:28:56.14 443.35425143752684 "" 1.9096473697572947 0.08465377763610966 "" 11.476320774585119 0.5087399497509681 0
121 05:40:52.03 -09:28:09.26 442.67541316018577 "" 0.5818494828417897 0.09341656525762013 "" 3.4860145878641964 0.5596834212960521 0
123 05:40:52.45 -09:27:26.46 442.5448967472755 "" 0.5114871892146766 0.09541952141223274 "" 3.062648669160232 0.5713466073583833 0
124 05:41:37.86 -09:26:18.56 443.3737757908394 "" 15.350891277194023 0.085295343569161 "" 92.2616772308263 0.5126406874734133 0
126 05:41:02.02 -09:23:52.80 442.0673488903871 < 0.3475074119296903 0.08687685298242258 < 2.076293264503132 0.519073316125783 0
127 05:40:48.52 -09:23:46.84 441.7350409059967 "" 0.5220501334406435 0.08432369923126246 "" 3.1144664625815612 0.5030615192562564 0
128 05:41:28.20 -09:23:40.48 442.63349488013466 "" 2.373593160882592 0.09450485429670243 "" 14.218133125832148 0.566096423587711 0
129 05:41:04.10 -09:23:20.08 442.00848428119826 "" 55.556222796440125 0.13569266042782732 "" 331.84988164767424 0.810522944808946 1
130 05:40:35.64 -09:22:43.32 441.22860997006893 < 0.38871744279131615 0.09717936069782904 < 2.3137109609307016 0.5784277402326754 0
131 05:40:58.74 -09:22:37.80 441.7461320547041 "" 2.188070910051465 0.09453971720954332 "" 13.054331840016992 0.5640369490976487 0
132 05:43:07.11 -09:22:24.84 444.67434565681765 "" 0.668194203171879 0.10420070918325006 "" 4.0395649741752955 0.6299449068890063 0
133 05:42:39.88 -09:21:44.54 443.9134105667043 < 0.36901649406256964 0.09225412351564241 < 2.2232589727231575 0.5558147431807894 0
134 05:41:10.88 -09:21:10.76 441.74258316454313 < 0.4005467814615205 0.10013669536538013 < 2.3896787639745063 0.5974196909936266 0
135 05:42:45.15 -09:20:41.12 443.8283616543398 < 0.35690343371988187 0.08922585842997047 < 2.1494560701631418 0.5373640175407854 0
136 05:40:57.48 -09:20:30.92 441.3017180522762 < 0.3564576542112615 0.08911441355281538 < 2.122398480823466 0.5305996202058665 0
137 05:40:37.39 -09:20:30.64 440.5824713762219 "" 5.92973455786705 0.0974935184059398 "" 35.191471520979896 0.5785993189038942 0
139 05:40:30.87 -09:20:15.96 440.133704507504 < 0.329238382309813 0.08230959557745325 < 1.9499678833573049 0.4874919708393262 0
140 05:40:45.84 -09:20:09.82 440.8703408950035 < 0.3681691034347617 0.09204227585869043 < 2.1878465127281768 0.5469616281820442 0
141 05:40:59.18 -09:19:47.78 441.2001354454533 < 0.36264391898829385 0.09066097974707346 < 2.158238415474818 0.5395596038687045 0
142 05:41:06.71 -09:19:09.86 441.25073999472863 < 0.37006300382055674 0.09251575095513918 < 2.2028975913218307 0.5507243978304577 0
143 05:41:05.51 -09:18:48.02 441.1514112699868 "" 3.2388053368777037 0.1364523968791519 "" 19.27116353966199 0.811903211871326 0
144 05:41:05.51 -09:18:43.22 441.1357479695068 "" 3.8769079837948084 0.16875471455056268 "" 23.066289787934174 1.0040334114644827 1
145 05:40:58.63 -09:18:07.92 440.64034147968266 < 0.32177914439624755 0.08044478609906189 < 1.9101793585894344 0.4775448396473586 0
146 05:41:39.69 -09:17:25.52 441.67408457693887 "" 0.3766048466786742 0.09279700321312255 "" 2.2461434286727906 0.5534590985907405 0
147 05:40:42.17 -09:17:13.84 439.3818134898479 < 0.3851233003308481 0.09628082508271202 < 2.2731688367848153 0.5682922091962038 0
148 05:40:29.48 -09:17:03.66 438.6434247259666 "" 2.7063137385994196 0.09036909696081524 "" 15.920222550018831 0.5316072984224541 0
149 05:41:10.13 -09:15:55.14 440.26359813908124 "" 0.6950832903385162 0.09009088629874056 "" 4.119174121977581 0.5338929199219641 0
151 05:41:09.17 -09:14:04.72 439.40046912563724 "" 0.6751073524355888 0.0954658480297855 "" 3.985121943851124 0.5635297030899279 0
152 05:40:58.40 -09:13:49.68 438.72668670960985 "" 1.6835153801366687 0.0883393285861629 "" 9.907245796933672 0.5198642389403985 0
154 05:41:02.72 -09:12:29.10 438.359526927734 "" 2.641032449901104 0.09271997956491403 "" 15.516093264647182 0.5447308496642131 0
155 05:42:38.84 -09:12:06.16 442.0027321172351 < 0.42160008596853515 0.10540002149213379 < 2.518247104899561 0.6295617762248903 0
156 05:41:16.02 -09:11:56.88 438.8178372117211 < 0.3914015156640631 0.09785037891601578 < 2.3042987976381117 0.5760746994095279 0
157 05:42:22.56 -09:11:54.74 441.58801901110604 < 0.3362336513689281 0.08405841284223202 < 2.004580426263409 0.5011451065658522 0
158 05:42:43.85 -09:10:43.42 441.84890591457213 "" 1.0518848430365324 0.05511132703529378 "" 6.278610038643799 0.3289547648275786 0
159 05:42:43.77 -09:10:38.48 441.83099217142114 "" 0.773714273236692 0.05511132703529378 "" 4.617859400198515 0.32892809194627765 0
160 05:42:47.80 -09:10:37.88 441.9224917542449 "" 2.4236286990344524 0.08896691120865065 "" 14.471249880267274 0.5312127239988724 0
161 05:42:04.12 -09:08:42.26 439.9013800916665 "" 0.381038204068318 0.09055023754884116 "" 2.2543789231907914 0.5357324930689279 0
162 05:41:37.41 -09:07:50.96 438.1276314578451 < 0.33353289489089993 0.08338322372272498 < 1.957436604027566 0.4893591510068915 0
164 05:40:53.89 -09:06:04.40 435.066131198628 "" 1.6382732428610325 0.08308179454138713 "" 9.48079235387502 0.4807996748201874 0
165 05:40:30.57 -09:05:55.36 433.77789695499916 "" 0.4442647041287273 0.0815069053674053 "" 2.5557854507915754 0.46889649558273355 0
166 05:40:57.55 -09:05:48.54 435.14112230427446 < 0.38030127664414953 0.09507531916103738 < 2.201586650992463 0.5503966627481157 0
167 05:43:32.80 -09:03:00.70 441.47651812318145 < 0.3283837641273706 0.08209594103184265 < 1.9567918863276523 0.4891979715819131 0
168 05:42:09.75 -09:01:39.94 437.09386466238186 "" 1.0357272112742066 0.08590582097901389 "" 6.049821379757975 0.5017874076757319 0
169 05:41:37.28 -09:01:36.46 435.3684311838068 < 0.43316987512120014 0.10829246878030004 < 2.5102666749026676 0.6275666687256669 0
170 05:41:11.18 -09:01:16.58 433.8547778501106 < 0.38192305959795747 0.09548076489948937 < 2.197922600556422 0.5494806501391055 0
171 05:41:12.41 -09:01:07.96 433.85627313532535 "" 0.9425800526514649 0.09803704055272076 "" 5.424475503414426 0.5641956069508746 0
172 05:44:15.95 -09:00:27.88 441.97997763896655 "" 0.5048688035458326 0.09245568194551065 "" 3.0153065566210615 0.5521874633750499 0
173 05:41:23.23 -08:59:43.44 433.8018802126798 "" 3.104193601757288 0.09301342832134302 "" 17.859915689608744 0.5351508961555228 0
174 05:41:12.24 -08:58:59.78 432.90499603689113 "" 0.7749143987894058 0.05511132703529378 "" 4.440037840178296 0.3157721392729539 0
175 05:41:12.11 -08:58:51.36 432.8363481216554 < 0.22044530814117513 0.05511132703529378 < 1.2626880002855705 0.3156720000713926 0
176 05:41:22.93 -08:58:43.78 433.34740691182986 < 0.24791415840492856 0.06197853960123214 < 1.4233820322526674 0.35584550806316684 0
177 05:41:26.50 -08:58:39.58 433.50395590104927 "" 1.51271081995219 0.0655314950385542 "" 8.691401008412981 0.3765164462027855 0
179 05:42:53.76 -08:57:27.88 437.5470047533799 "" 8.738933131098747 0.06328642082282267 "" 51.151172308158706 0.37043132928376526 0
181 05:40:50.02 -08:56:38.66 430.7021736088876 < 0.2806259301446648 0.0701564825361662 < 1.5915843854552085 0.39789609636380213 0
182 05:41:24.50 -08:56:32.14 432.4629463794194 "" 0.28858683072030544 0.06757423787760242 "" 1.6501448159381034 0.38639073739565494 0
184 05:42:39.70 -08:54:50.24 435.6554845587338 "" 0.5527558387257159 0.06258097133741904 "" 3.2075058362915025 0.36314194576091474 0
185 05:40:25.12 -08:54:21.42 428.3854429090678 "" 18.139025196433067 0.06843998850183595 "" 101.77265352063876 0.3839963372521 0
186 05:40:36.89 -08:53:48.06 428.7581956022981 "" 0.6456357077695429 0.06090766696116479 "" 3.6287759591830926 0.34232969914591127 0
187 05:42:34.54 -08:53:38.52 434.85918715304143 "" 1.9952610600739717 0.059752432697280894 "" 11.535721729614691 0.345462280628986 0
188 05:41:12.54 -08:52:46.42 430.1769584035295 < 0.23819205344147945 0.05954801336036986 < 1.3476257552667175 0.33690643881667937 0
189 05:42:55.46 -08:52:19.36 435.3747222042021 < 0.25937224168541 0.0648430604213525 < 1.5031338711945852 0.3757834677986463 0
190 05:40:42.00 -08:52:18.66 428.36928073181446 < 0.22352816822634708 0.05588204205658677 < 1.2540551680656244 0.3135137920164061 0
191 05:40:49.24 -08:51:21.92 428.33274336612476 "" 1.8489572685211897 0.062157682573463255 "" 10.371394851707132 0.3486623947518638 0
192 05:40:48.90 -08:51:15.24 428.26550596069785 "" 0.4336092679295689 0.05739845830592183 "" 2.4314900318112733 0.32186530485979653 0
193 05:40:47.82 -08:51:04.48 428.13003662650755 < 0.22331152227617942 0.055827880569044856 < 1.2514406936777016 0.3128601734194254 0
194 05:40:48.09 -08:50:44.30 427.98198511537174 "" 4.830194171518087 0.061801871062636314 "" 27.0497535159207 0.34609900134545024 0
195 05:40:52.85 -08:50:35.64 428.18232759528246 "" 0.2925904409494251 0.06248550738662235 "" 1.6400812199533592 0.35025514453416584 0
196 05:42:39.08 -08:50:28.00 433.7004370340616 < 0.27650985785688614 0.06912746446422154 < 1.5901499629176858 0.39753749072942146 0
198 05:42:42.41 -08:48:14.16 432.89394901972537 "" 0.28429945814423263 0.05877623600378967 "" 1.6288714357039333 0.33675383185639135 0
202 05:42:43.13 -08:45:36.40 431.77549657933855 < 0.2489658479104037 0.06224146197760092 < 1.4190689777693746 0.35476724444234364 0
203 05:42:42.98 -08:45:32.92 431.74222480557444 < 0.24661572821484964 0.06165393205371241 < 1.4054570101157655 0.3513642525289414 0
205 05:43:31.07 -08:44:24.04 433.75919851188524 < 0.24086759378444958 0.060216898446112395 < 1.3855541854495386 0.34638854636238464 0
206 05:43:00.91 -08:44:18.40 432.1367828641471 "" 0.4275045357644558 0.05755208399498519 "" 2.440792952320397 0.3285876739415655 0
208 05:41:06.23 -08:44:05.74 424.5753700618072 "" 0.8575886022299528 0.057134451796357885 "" 4.726463832215736 0.31488748717832143 0
209 05:41:30.49 -08:43:59.00 426.6912913473478 "" 0.5806069239042699 0.05912064905866187 "" 3.2318970173776846 0.3290898566508068 0
210 05:42:00.30 -08:43:29.88 428.60030238472984 < 0.22574640512636304 0.05643660128159076 < 1.2678665215580518 0.31696663038951295 0
214 05:43:00.94 -08:41:14.40 430.7913365983417 < 0.2477459973004337 0.061936499325108425 < 1.4056859796642966 0.35142149491607416 0
215 05:42:38.31 -08:41:01.84 429.5115050138767 "" 1.1049715103581548 0.05612142970817711 "" 6.232301119472353 0.3165381604122006 0
216 05:41:35.94 -08:40:58.76 424.90353204161664 "" 0.29953019111417234 0.06460972082763335 "" 1.653366108238465 0.3566369128995073 0
217 05:41:19.57 -08:40:38.90 423.1665845497281 "" 0.45023259008303285 0.061906550145591925 "" 2.4649459772918925 0.33892771227701113 0
220 05:41:35.92 -08:40:16.70 424.36913289082776 < 0.2392335440643037 0.05980838601607592 < 1.317217201914447 0.32930430047861176 0
223 05:42:40.81 -08:40:08.66 429.25341025740136 "" 5.131567362695932 0.054711850769917685 "" 28.90848202049192 0.3082170499773133 0
225 05:42:46.10 -08:40:00.78 429.4731775896176 "" 0.7737463456578553 0.06438398020455069 "" 4.363333885602648 0.3630760960526858 0
226 05:42:54.75 -08:39:59.36 429.91716283057264 < 0.2588951628499144 0.0647237907124786 < 1.462989628231127 0.36574740705778175 0
227 05:42:50.51 -08:39:57.74 429.682681658925 "" 3.339319257065654 0.06504493505673599 "" 18.84956735499172 0.3671613254284604 0
228 05:42:52.51 -08:39:16.74 429.4874091034127 "" 6.098298821598291 0.05977043131597474 "" 34.391991067997445 0.3370815698091035 0
229 05:41:22.61 -08:39:16.32 422.39644327748226 "" 5.748651456087828 0.34588656177222915 "" 31.358424011884996 1.8867829345576705 0
230 05:41:22.95 -08:39:10.98 422.36019040096164 "" 19.961457699537277 0.2062595124740402 "" 108.86943063778888 1.1249356647534416 0
231 05:43:03.92 -08:39:09.44 430.03318841158335 "" 1.0594837367534637 0.05766975259974216 "" 5.990264344993969 0.3260616947660092 0
