source,zoom,xmean,ymean,xsigma,ysigma,notes,
10,5,-,-,-,-,-,
14,14,-,-,-,-,nonconv,
16,4,-,-,-,-,nonconv,
23,5,-,-,-,-,-,
25,4,-,-,-,-,-,
29,4,-,-,-,-,nonconv,
30,5,-,-,-,-,nonconv,
33,4,-,-,-,-,-,
40,4,-,-,-,-,-,
45,4,-,-,-,-,nonconv,
63,4,-,-,-,-,nonconv,
64,4.5 ,-,-,-,-,-,
65,3,-,-,-,-,-,
66,8,-,-,-,-,nonconv,
67,4,-,-,-,-,-,
68,11,-,-,-,-,nonconv,
69,4,-,-,-,-,nonconv,
70,8.5,-,-,-,-,nonconv,
